primitive_id,primitive_name,substrate_family,capability,what_it_could_unlock,mechanism,technology_readiness_level,venture_shape,translational_gap,closest_companies
engineered-living-materials,Engineered Living Materials,E,Self-healing structural and building materials,Concrete-like and hydrogel composites that reseal cracks and self-propagate,Biomineralising microbes in a sand-hydrogel scaffold precipitate mineral to reseal damage and can be regrown from a fragment,3,research programme / grant / academic spinout,"Cell viability over years, mechanical strength, biocontainment, cost versus inert materials","BioMason (adjacent, biocement not live-cell resident)"
engineered-living-materials,Engineered Living Materials,E,In-situ therapeutic-producing living implants,Implanted matrices that manufacture and dose a biologic on demand inside the body,Engineered bacteria contained in a semipermeable capsule or hydrogel secrete a therapeutic in response to a trigger,3,research programme / grant / academic spinout,"Long-term containment of live GMOs, immune response, dosing control, regulatory acceptance","mostly academic (Wyss, MIT); no commercial pure-play"
extracellular-vesicles,Extracellular Vesicles,E,EV therapeutic delivery,"Targeted delivery of RNA, protein, or gene-editing cargo to specific tissues, including across the blood-brain barrier",Engineered exosomes display targeting ligands and EV-sorting scaffolds that load and protect cargo and enable endosomal release,5,translational startup / prototype / first clinical collaborator,"Reproducible cargo loading, targeting specificity, scalable GMP manufacturing, potency assays","Evox Therapeutics | Mantra Bio | Codiak BioSciences (defunct, assets sold)"
extracellular-vesicles,Extracellular Vesicles,E,Exosome liquid-biopsy diagnostics,Non-invasive tests that read tissue-specific RNA and protein signatures for cancer and other disease,Circulating EVs are isolated and their nucleic-acid or protein cargo is profiled as a biomarker,6,seed-stage commercialisation / regulatory strategy / pilots,"Isolation standardisation, signal-to-noise from bulk plasma EVs, clinical validation, reimbursement",Bio-Techne (ExoDx Prostate) | mdxhealth
flexible-epidermal-electronics,Flexible epidermal electronics,D,Electrophysiology capture,"Continuous ECG, EEG, EMG, respiratory and motion monitoring",Conformal electrodes maintain low-artefact skin contact,8,product differentiation / distribution / data moat,"Adhesion, comfort, reimbursement, clinical workflow",MC10
flexible-epidermal-electronics,Flexible epidermal electronics,D,Sweat microfluidic sensing,"Hydration, electrolyte, lactate, cortisol, drug monitoring",A skin patch routes sweat through microchannels over sensors,7,seed-stage commercialisation / regulatory strategy / pilots,"Sweat-rate variability, calibration, analyte validity",Epicore Biosystems
flexible-epidermal-electronics,Flexible epidermal electronics,D,Hybrid biochemical and physiological patch,Multimodal digital biomarkers combining chemistry and signals,"Soft electronics combine electrodes, microfluidics, sensors and wireless readout",5,translational startup / prototype / first clinical collaborator,"Power, integration, signal interpretation",
liquid-biopsy-multiomics,Liquid biopsy multiomics,A,Minimal residual disease and recurrence monitoring,"Post-surgical relapse detection, adjuvant-therapy escalation/de-escalation, longitudinal monitoring",Serial ctDNA measurement tracks tumour burden below imaging detection after treatment,8,product differentiation / distribution / data moat,"Sensitivity at very low tumour fraction, assay standardisation, reimbursement",Guardant Health | Natera
liquid-biopsy-multiomics,Liquid biopsy multiomics,A,Multi-cancer early detection screening,Single blood test screening for many cancers in asymptomatic populations,Methylation and fragmentomic signatures classify cancer presence and tissue of origin,6,seed-stage commercialisation / regulatory strategy / pilots,"Early-stage sensitivity, false positives, mortality-benefit evidence, screening reimbursement",Grail | Freenome
mechanophores,Mechanophores / mechanochromic polymers,D,Visual force and stress reporting,"Smart bandages, wound tension, implant strain alerts",Mechanical stress changes molecular structure and colour or fluorescence,3,research programme / grant / academic spinout,"Quantification, biocompatibility, fatigue",
mechanophores,Mechanophores / mechanochromic polymers,D,Damage-reporting structural biomaterials,"Self-reporting implants, sutures, scaffolds, soft robots",A polymer emits an optical signal when damaged or overstrained,2,research programme / grant / academic spinout,"Sterilisation, durability, regulatory path",
metamaterials-metasurfaces,Metamaterials and metasurfaces,D,Optical and THz signal amplification,Label-free biomarker and pathogen sensing,Sub-wavelength resonators amplify light-matter interaction,4,translational startup / prototype / first clinical collaborator,"Specificity, fouling, scalable fabrication",
metamaterials-metasurfaces,Metamaterials and metasurfaces,D,Wavefront shaping for implants and devices,"Better retinal, neural, or acoustic interfaces",Engineered structures shape light or sound at small scale,4,translational startup / prototype / first clinical collaborator,"Biocompatibility, implantation, clinical benefit",Metalenz | Leadoptik
microfluidic-lnp-manufacturing,Microfluidic LNP manufacturing,B,Reproducible LNP mixing,"Uniform, high-quality nanoparticles for RNA drugs",Microfluidic mixers control lipid and nucleic-acid self-assembly,9,product differentiation / distribution / data moat,"N/A, commercially proven",Precision NanoSystems
microfluidic-lnp-manufacturing,Microfluidic LNP manufacturing,B,Research-to-GMP scale transfer,Same formulation from bench to clinical manufacture,Controlled microfluidic mixing scales from 0.5L to 400L with electronic batch records,8,product differentiation / distribution / data moat,"Throughput, scale-transfer consistency",
microneedle-isf-sensing,Microneedle Interstitial Fluid Sensing,D,Dermal ISF access with continuous aptamer readout,"Point-of-care or wearable NT-proBNP, cortisol, insulin, and drug-level monitoring",Microneedles place aptamer-functionalised electrodes in interstitial fluid; binding produces a redox-current change,4,translational startup / prototype / first clinical collaborator,"Insertion reproducibility, skin inflammation, blood correlation, multi-day stability",Nutromics | Adaptyx Biosciences
microneedle-isf-sensing,Microneedle Interstitial Fluid Sensing,D,Continuous therapeutic drug monitoring,"Closed-loop dosing for narrow-therapeutic-index drugs (vancomycin, chemo)",Microneedle EAB array reads free drug concentration in ISF in real time,4,translational startup / prototype / first clinical collaborator,"Clinical validation versus blood assays, per-drug aptamer development",
mof-hydrogels,MOF Hydrogels and Nanoscale Metal-Organic Frameworks,D,Selective molecular capture,Sweat or ISF patches that enrich low-abundance biomarkers,"Tunable pores trap molecules by size, charge, affinity or hydrophobicity",3,research programme / grant / academic spinout,"Reproducibility, swelling, skin safety, leaching",
mof-hydrogels,MOF Hydrogels and Nanoscale Metal-Organic Frameworks,D,Enzyme and catalyst stabilisation,Longer-lived enzymatic biosensors for metabolites,A MOF or hydrogel matrix protects enzymes and controls analyte diffusion,3,research programme / grant / academic spinout,"Enzyme lifetime, hydration, biofouling, CMC",
mof-hydrogels,MOF Hydrogels and Nanoscale Metal-Organic Frameworks,D,Multi-drug nMOF therapeutic loading,Combination chemo plus radiosensitiser delivery for cancer,Nanoscale MOF pores co-load and release multiple active agents at the tumour,5,translational startup / prototype / first clinical collaborator,"CMC, biodistribution, clinical validation",Coordination Pharmaceuticals | Tarsis Technology
molecular-recording,Molecular recording,E,In vivo lineage and event recording,"Cancer evolution maps, immune-cell fate tracking, developmental lineage trees",Prime editing sequentially inserts ordered barcodes into a genomic DNA tape,3,research programme / grant / academic spinout,"Delivery, temporal resolution, cell safety, decoding burden",none commercial (academic frontier)
molecular-recording,Molecular recording,E,Neural and transcriptome molecular recording,Logging brain activity or drug-exposure responses beyond electrode limits,Activity- or signal-dependent changes are captured into DNA or RNA records,2,research programme / grant / academic spinout,"Temporal resolution, signal-to-noise, delivery, perturbation",none commercial (academic frontier)
molecularly-imprinted-polymers,Molecularly Imprinted Polymers,D,Artificial receptor for small molecules,"Low-cost sensing of drugs, hormones, toxins, metabolites",Polymer cavities are templated around a target molecule and rebind it selectively,4,translational startup / prototype / first clinical collaborator,"Specificity in complex fluids, reproducible imprinting, clinical validation",MIP Discovery | Tozaro
molecularly-imprinted-polymers,Molecularly Imprinted Polymers,D,Synthetic capture layer for preconcentration,Enrich low-abundance sweat or ISF analytes before sensing,A MIP layer selectively traps target molecules before electrochemical or optical readout,3,research programme / grant / academic spinout,"Recovery efficiency, reversibility, fouling, batch variability",
mrna-lnp-delivery,mRNA / LNP delivery,D,Vaccine antigen expression,Infectious-disease and personalised cancer vaccines,An LNP delivers mRNA encoding an antigen into host cells,9,product differentiation / distribution / data moat,"Durability, tolerability, tumour response evidence",
mrna-lnp-delivery,mRNA / LNP delivery,D,In vivo gene-editing delivery,One-shot editing for liver and other tissues,An LNP delivers editor mRNA plus guide RNA into target cells,7,seed-stage commercialisation / regulatory strategy / pilots,"Tissue targeting beyond liver, off-target editing, repeat dosing",
mrna-lnp-delivery,mRNA / LNP delivery,D,Transient therapeutic protein expression,"Temporary replacement of missing proteins, cytokines, antibodies, enzymes",mRNA drives short-lived therapeutic protein production,6,seed-stage commercialisation / regulatory strategy / pilots,"Dosing window, immunogenicity, organ targeting",Capstan Therapeutics
multimodal-clinical-data-platform,Multimodal clinical data platform,A,harmonised real-world data at scale,"external control arms, label-expansion evidence, and post-market safety studies from real-world records","de-identified EHR, claims, and outcomes are curated and normalised into analysis-ready cohorts",8,product differentiation / distribution / data moat,"curation is labour-heavy, coverage is US-skewed, and regulator acceptance of RWD for efficacy is uneven",Flatiron Health | Tempus
multimodal-clinical-data-platform,Multimodal clinical data platform,A,linked multimodal clinico-genomic records,biomarker discovery and virtual-cell or outcome models trained on genomics linked to real outcomes,sequencing and imaging are federated or linked to the same patient's clinical trajectory,6,seed-stage commercialisation / regulatory strategy / pilots,"cross-modality linkage, privacy, and federation across institutions remain hard and legally sensitive",
mxene-2d-materials,MXenes and 2D Materials,D,High-surface-area electrochemical transduction,Ultra-sensitive flexible electrochemical biosensors,Conductive 2D sheets accelerate electron transfer and increase active area,3,research programme / grant / academic spinout,"Oxidation, biocompatibility, scalable synthesis",XPANCEO
mxene-2d-materials,MXenes and 2D Materials,D,Flexible conductive bio-interface,"Stretchable electrodes, e-skin, low-impedance wearable patches","Layered films form soft, conductive, conformal interfaces with skin and tissue",4,translational startup / prototype / first clinical collaborator,"Long-term stability, adhesion, sweat resistance, skin safety",
mxene-2d-materials,MXenes and 2D Materials,D,Electromagnetic shielding and signal cleaning,"Cleaner wearable ECG, EEG, EMG and implant telemetry",Conductive 2D films attenuate electromagnetic noise,4,translational startup / prototype / first clinical collaborator,"Durability, manufacturability, integration into medical-grade devices",
nanopore-sensing,Nanopore sensing,D,DNA and RNA single-molecule sequencing,"Portable sequencing, pathogen genomics, methylation, transcriptomics",Nucleic acids passing through a pore modulate ionic current,9,product differentiation / distribution / data moat,"Accuracy, cost, sample prep, clinical workflow",Oxford Nanopore | Qitan Technology | AxBio
nanopore-sensing,Nanopore sensing,D,Protein and peptide sequencing,"Direct proteomics, isoform detection, PTM detection, low-input diagnostics",Peptides translocate through a pore and generate sequence-dependent current signals,4,translational startup / prototype / first clinical collaborator,"Protein unfolding, translocation control, signal decoding, throughput",Portal Biotech | UNOMR | Genopore
nanopore-sensing,Nanopore sensing,D,Molecular diagnostics and analyte sensing,"Label-free detection of proteins, metabolites, toxins, miRNAs",Target binding or passage through a pore changes the current blockade,4,translational startup / prototype / first clinical collaborator,"Specificity, multiplexing, noisy signals, sample prep",
nanopore-sensing,Nanopore sensing,D,Extracellular vesicle and particle profiling,"Exosome diagnostics, liquid biopsy, viral particle sizing",Particles passing through pores create size and charge dependent blockade signatures,4,translational startup / prototype / first clinical collaborator,"Clogging, throughput, biological heterogeneity, standardisation",
neuromorphic-memristive-materials,Neuromorphic / memristive materials,D,Edge AI for biosignals,"On-patch ECG, EEG, EMG classification",Memristive circuits process time-series signals at low power,4,translational startup / prototype / first clinical collaborator,"Reliability, integration, clinical interpretability",
neuromorphic-memristive-materials,Neuromorphic / memristive materials,D,Artificial tactile sensing,"E-skin, prosthetic feedback, robotic palpation",Sensors mimic synaptic memory and adaptive response,4,translational startup / prototype / first clinical collaborator,"Durability, calibration, large-area manufacturing",
neuromorphic-memristive-materials,Neuromorphic / memristive materials,D,Molecular pattern recognition,On-chip disease classification from complex biomarker signatures,Functionalised memristors change conductance in response to analyte patterns,3,research programme / grant / academic spinout,"Specificity, reproducibility, biological validation",
nv-diamond-quantum-sensing,NV-diamond quantum sensing,D,Magnetic-field imaging,"Portable MEG, neural activity, cellular magnetic signals",NV spin fluorescence shifts with the local magnetic field,6,seed-stage commercialisation / regulatory strategy / pilots,"Cost, miniaturisation, biological signal isolation",Qnami
nv-diamond-quantum-sensing,NV-diamond quantum sensing,D,Magnetic immunoassays,Ultra-sensitive protein or pathogen detection using magnetic labels,Magnetic-nanoparticle-labelled analytes are detected by diamond magnetometry,5,translational startup / prototype / first clinical collaborator,"Workflow integration, assay menu, clinical validation",QT Sense
optogenetics-sonogenetics,Optogenetics / sonogenetics,E,Light-controlled cellular activity (optogenetics),"Retinal therapy, neural control, controllable cell therapies",Engineered light-sensitive proteins modulate ion flow or signalling,6,seed-stage commercialisation / regulatory strategy / pilots,"Delivery, tissue penetration, device burden",Science Corporation
optogenetics-sonogenetics,Optogenetics / sonogenetics,E,Ultrasound-controlled cellular activity (sonogenetics),Deep-tissue non-invasive cell and neuro control,Engineered mechanosensitive channels respond to focused ultrasound,3,research programme / grant / academic spinout,"Specificity, safety, human validation",Merge Labs
organ-on-chip,Microfluidics / organ-on-chip / microphysiological systems (MPS),E,Organ-mimetic disease modelling,"Drug safety, efficacy prediction, animal replacement","Microfluidic flow recreates tissue shear, gradients and mechanics",7,seed-stage commercialisation / regulatory strategy / pilots,"Standardisation, regulatory acceptance, reproducibility",Hesperos | Emulate
organ-on-chip,Microfluidics / organ-on-chip / microphysiological systems (MPS),E,Sample preparation and assay miniaturisation,"Point-of-care diagnostics, low-volume multiplex testing","Fluids are routed, mixed, separated and reacted on-chip",6,seed-stage commercialisation / regulatory strategy / pilots,"COGS, clogging, cartridge reliability",
organ-on-chip,Microfluidics / organ-on-chip / microphysiological systems (MPS),E,Single-cell and droplet screening,"High-throughput cell assays, antibody discovery, directed evolution",Droplets or chambers isolate single cells or reactions at scale,7,seed-stage commercialisation / regulatory strategy / pilots,"Instrument cost, workflow complexity",
phage-therapy,Bacteriophage / phage therapy,E,Targeted bacterial killing,MDR infection treatment and biofilm disruption,Phage infects and lyses target bacterial strains,6,seed-stage commercialisation / regulatory strategy / pilots,"Matching, resistance, manufacturing, trial design",Locus Biosciences
phage-therapy,Bacteriophage / phage therapy,E,Engineered payload delivery,"CRISPR antimicrobials, microbiome editing, resistance-gene removal",An engineered phage delivers a DNA or RNA payload into bacteria,6,seed-stage commercialisation / regulatory strategy / pilots,"Delivery efficiency, resistance, regulation",Locus Biosciences | Eligo Biosciences
phage-therapy,Bacteriophage / phage therapy,E,Bacterial diagnostics and susceptibility testing,Rapid phage-matching and infection triage,Reporter phages identify viable target bacteria,5,translational startup / prototype / first clinical collaborator,"Speed, coverage, integration into hospital workflows",
photonic-integrated-biosensing,Photonic integrated biosensing,D,Label-free multiplexed protein detection,Multi-biomarker blood or serum testing at point of care,Binding shifts optical resonance in waveguides or ring resonators,7,seed-stage commercialisation / regulatory strategy / pilots,"Assay menu, sample prep, regulatory validation",Delta Diagnostics | SurfixDx
photonic-integrated-biosensing,Photonic integrated biosensing,D,Binding-kinetics measurement,Faster affinity and biophysics assays outside large SPR systems,Real-time optical resonance tracks association and dissociation,7,seed-stage commercialisation / regulatory strategy / pilots,"Sensitivity, workflow adoption, cost",
prime-base-editing,Prime and base editing,E,In vivo therapeutic gene correction,"One-time genetic cures delivered directly to liver, muscle, or other tissues",LNP- or viral-delivered editors correct disease mutations inside the body,6,seed-stage commercialisation / regulatory strategy / pilots,"Delivery efficiency, tissue targeting, off-target edits, durability",Prime Medicine | Verve Therapeutics
prime-base-editing,Prime and base editing,E,Ex vivo edited cell therapies,Corrected autologous stem or immune cells reinfused as a curative therapy,"Cells are edited outside the body, selected, and reinfused after conditioning",7,seed-stage commercialisation / regulatory strategy / pilots,"Manufacturing, conditioning burden, editing efficiency, durability",Prime Medicine | Beam Therapeutics
protein-design-diffusion-models,Protein design / diffusion models,C,De novo binders,"Synthetic antibodies, biosensor capture reagents, targeted therapeutics",Models design proteins with desired binding interfaces,6,seed-stage commercialisation / regulatory strategy / pilots,"Wet-lab validation, affinity, specificity, developability",
protein-design-diffusion-models,Protein design / diffusion models,C,Enzyme design,"New biocatalysts, metabolic sensors, therapeutic enzymes",Models generate active-site geometry and stabilising scaffolds,5,translational startup / prototype / first clinical collaborator,"Activity, stability, screening burden",
protein-design-diffusion-models,Protein design / diffusion models,C,Molecular machines,"Switches, pores, and multi-state systems that integrate binding and conformational change, plus programmable receptors and smart CARs",Designed proteins couple ligand binding to a conformational or signalling state change,3,research programme / grant / academic spinout,"Multi-state design reliability, cell validation, immunogenicity, safety switches",
quantum-dot-sensing,Quantum dot sensing,D,Optical fluorescence biosensing,"miRNA, pathogen, protein and metabolite assays","Target binding changes fluorescence intensity, FRET, or emission lifetime",5,translational startup / prototype / first clinical collaborator,"Toxicity, stability, surface chemistry",
quantum-dot-sensing,Quantum dot sensing,D,Deep-tissue imaging,"NIR molecular tracking, tumour imaging, cell tracking",Tunable nanocrystals emit bright wavelength-specific signals,4,translational startup / prototype / first clinical collaborator,"Clearance, toxicity, regulatory acceptance",
quantum-dot-sensing,Quantum dot sensing,D,Optoelectronic photodetection,"Compact biosensor cameras, wearable optical readers",Perovskite or QD materials convert light into high-gain electrical signals,5,translational startup / prototype / first clinical collaborator,"Stability, encapsulation, manufacturing",
raman-metasurface-sensing,Raman metasurface sensing,D,De novo protein sequencing,Read a protein's residues directly from vibrational signatures,Metasurface hotspots amplify Raman scattering to single-molecule sensitivity on a silicon chip,3,research programme / grant / academic spinout,"Wafer-scale metasurface manufacturing, single-molecule reproducibility",Pumpkinseed Bio
raman-metasurface-sensing,Raman metasurface sensing,D,Label-free molecular fingerprinting,Multiplexed metabolite and biomarker diagnostics without binders,Metasurface-enhanced Raman reads a molecule's vibrational fingerprint directly,3,research programme / grant / academic spinout,"Specificity in complex biofluids, enhancement-factor reproducibility",
self-healing-polymers,Self-healing polymers / elastomers,D,Self-repairing wearable substrate,Longer-life skin patches and flexible sensors,Reversible polymer bonds reform after mechanical damage,4,translational startup / prototype / first clinical collaborator,"Wet-skin healing, sterilisation, mechanical strength",
self-healing-polymers,Self-healing polymers / elastomers,D,Self-healing conductive interface,Durable stretchable electrodes and implant leads,Conductive fillers or ionic networks reconnect after strain or cut,3,research programme / grant / academic spinout,"Conductivity retention, fatigue, biocompatibility",
spatial-omics,Spatial omics,A,High-plex tissue profiling,"Tumour immune maps, response prediction, target discovery",RNA and protein are measured while retaining tissue coordinates,9,product differentiation / distribution / data moat,"Cost, data complexity, ex vivo workflow",Stellaromics
spatial-omics,Spatial omics,A,Clinical companion diagnostics,Spatial pathology tests for oncology and inflammation,Spatial molecular signatures are turned into diagnostic classifiers,6,seed-stage commercialisation / regulatory strategy / pilots,"Standardisation, reimbursement, clinical evidence",
spatial-omics,Spatial omics,A,AI tissue atlas generation,Foundation models for pathology and drug discovery,"Spatial datasets train models linking morphology, cell state and outcome",5,translational startup / prototype / first clinical collaborator,"Dataset scale, annotation, privacy, generalisation",
terahertz-metasurfaces,Terahertz metasurfaces,D,Label-free hydration and tissue-property sensing,"Non-contact skin hydration, burns, oedema, tissue composition",THz absorption and scattering change with water content and tissue structure,4,translational startup / prototype / first clinical collaborator,"Water dominance, hardware cost, clinical specificity",
terahertz-metasurfaces,Terahertz metasurfaces,D,Molecular fingerprinting,"Protein, pathogen, metabolite, or biofluid identification",Metasurface-enhanced resonances shift with molecular vibrational and refractive signatures,3,research programme / grant / academic spinout,"Specificity in mixed fluids, reference libraries, sensitivity",
topological-photonics,Topological photonics,D,Robust optical routing,Fabrication-resilient biochips and wearable optical circuits,Protected edge modes guide light despite bends or defects,3,research programme / grant / academic spinout,"Wafer integration, biofunctionalisation, proof in real samples",
topological-photonics,Topological photonics,D,Enhanced topological biosensing,Ultra-sensitive refractive-index or single-molecule sensing,Topological cavity or edge modes concentrate and stabilise optical fields,2,research programme / grant / academic spinout,Demonstrating an advantage over standard photonics,
triboelectric-nanogenerators,Triboelectric Nanogenerators,D,Biomechanical energy harvesting,Battery-light or self-powered wearables,Motion or contact creates charge separation and electrical output,4,translational startup / prototype / first clinical collaborator,"Stable power, humidity, durability",
triboelectric-nanogenerators,Triboelectric Nanogenerators,D,Self-powered physical sensing,"Gait, respiration, pulse, pressure, joint-motion sensing",Mechanical deformation produces a measurable voltage or current,5,translational startup / prototype / first clinical collaborator,"Calibration, comfort, textile integration",
