id,name,substrate_family,substrate_tags,enabled_by,mechanism,new_capability,what_it_could_unlock,use_cases,technology_readiness_level,evidence_level,translational_gap,what_needs_to_happen,closest_companies,closest_labs,commercialisation_status,regulatory_complexity,capex_intensity,defensibility,notes,last_verified
engineered-cell-therapy,Engineered Cell Therapy,E,E.2,"Use of non-MHC-restricted effector cells (gamma-delta and other unconventional T cells) that kill without HLA matching, so a single healthy donor can supply an off-the-shelf allogeneic product without causing graft-versus-host disease","Donor-derived unconventional T cells recognise and kill tumour cells in an MHC-independent way, are engineered with a CAR or other targeting moiety, expanded, and banked as a ready-to-infuse allogeneic product","Off-the-shelf cell therapy that skips patient-specific manufacturing and HLA matching, and reaches solid tumours through the natural tissue-homing of gamma-delta T cells","Cell therapy that ships from inventory like a drug rather than being built per patient, extended from blood cancers into solid tumours",Off-the-shelf CAR gamma-delta T cell therapy for B-cell lymphoma | GPC3-targeted gamma-delta T cells for hepatocellular carcinoma and solid tumours | Allogeneic products that avoid patient-specific manufacturing bottlenecks | Externally controllable cell therapies with tunable on/off activity | Combination with checkpoint or cytokine support for solid-tumour penetration,5,human_pilot,"Allogeneic unconventional T cells often lack the in-vivo persistence of autologous products, so responses can be shallow or short; solid-tumour trafficking and the immunosuppressive microenvironment remain hard; and manufacturing a consistent, potent allogeneic product at scale is unsettled","Engineering that extends in-vivo persistence and expansion (armouring, cytokine support, resistance to host rejection), demonstrated solid-tumour infiltration and durable responses in trials, and a reproducible allogeneic manufacturing and potency-assay pipeline",Adicet Bio | TC BioPharm | Century Therapeutics,"Bruno Silva-Santos Lab (Instituto de Medicina Molecular, Lisbon) | Adrian Hayday Lab (King's College London / Crick) | Michael Wilson / gamma-delta immunology groups",regulatory_review,very-high,high,high,"Several biotechs are in clinical trials with off-the-shelf gamma-delta and unconventional T cell products, but none is approved as of mid-2026. Most gamma-delta programs remain in haematologic malignancies; solid-tumour programs (for example GPC3 CAR gamma-delta) are earlier. Status is regulatory_review because lead assets are in clinical development, not commercial.",2026-07-07
engineered-living-materials,Engineered Living Materials,E,E.1,"Synthetic-biology control of cells combined with materials science, so genetically programmed cells are embedded in a polymer, hydrogel, or mineral matrix and keep sensing, synthesising, and repairing while structurally integrated","Living cells engineered with genetic sensor-actuator circuits are held in a scaffold matrix, where they respond to stimuli by producing signals, materials, or therapeutics and can regrow or reseal damage","A structural material that is also alive, so it senses its environment, manufactures compounds in place, and self-heals rather than degrading like an inert material","Buildings, implants, and devices that grow, adapt, and repair themselves and manufacture drugs or chemicals continuously at the point of use",Self-healing living concrete and construction composites | Implanted living depots that synthesise therapeutics in place | Living biosensor coatings that report environmental contaminants | Programmable bioplastics grown with tunable material properties | Wound dressings that sense and respond to infection,3,in_vitro,Cells must stay alive and functional inside a matrix for months to years without contamination or genetic drift; biocontainment of live engineered organisms is unsolved at product scale; and no regulator has a pathway for a structural or implantable material that is a living GMO,"Robust encapsulation chemistry that keeps engineered cells viable and contained for the product lifetime, kill-switch biocontainment that satisfies environmental and clinical review, and a first regulatory precedent for a live-cell-resident material","mostly academic (no commercial pure-play) | BioMason (biocement, adjacent not live-cell resident) | Ecovative (mycelium materials, adjacent)",Neel Joshi Lab (Northeastern) | Wyss Institute (Harvard) | Chris Voigt Lab (MIT) | Wilfried Weber Lab (Saarland / INM),research_only,very-high,medium,high,"This primitive has extreme adjacency (construction, therapeutics, biosensing, packaging) but almost no products. The nearest commercial plays (BioMason biocement, Ecovative mycelium) use grown or fixed biological material rather than a matrix of living, genetically programmed cells that keep sensing and computing, so they are adjacent, not the pure primitive. TRL is honestly around 3.",2026-07-07
extracellular-vesicles,Extracellular Vesicles,E,E.5,"The discovery that cells naturally shed lipid nanovesicles carrying protein and RNA cargo, plus engineering methods to load, target, and produce them, so a biological nanocarrier can be repurposed for delivery and read as a diagnostic analyte","Cell-derived lipid-bilayer vesicles carry molecular cargo between cells; engineered EVs display targeting proteins and are loaded with a therapeutic, while circulating native EVs are captured and their cargo profiled as a biomarker","A natural, biocompatible nanocarrier that crosses barriers and evades clearance better than synthetic nanoparticles, and a rich circulating source of tissue-specific molecular signals for liquid biopsy","Targeted delivery of nucleic acids and proteins to tissues that synthetic nanoparticles miss, and non-invasive diagnostics that read the molecular state of a specific tissue from blood","Engineered exosomes delivering siRNA or mRNA to liver, muscle, or brain | ExoDx-style urine or blood exosome tests for prostate and other cancers | EV carriers for gene-editing payloads and protein therapeutics | Cell-free regenerative EV products from stem cells | Early-detection multi-cancer exosome RNA panels",5,human_pilot,"Loading therapeutic cargo into EVs reproducibly and at high efficiency is hard; targeting to the intended tissue is imperfect; manufacturing at GMP scale with a defined potency assay is unsettled for therapeutics; and for diagnostics, isolation is not standardised and tissue-specific signal is diluted in bulk plasma EVs","Robust, scalable cargo-loading and targeting engineering with a validated potency assay for therapeutics, and standardised isolation plus clinical validation and reimbursement for diagnostics",Evox Therapeutics | Mantra Bio | Bio-Techne (ExoDx diagnostics) | Codiak BioSciences (defunct; assets acquired by Evox),Matthew Wood Lab (University of Oxford) | Samir El Andaloussi Lab (Karolinska Institutet) | Raghu Kalluri Lab (MD Anderson),pilot_deployment,high,high,medium,"The field splits into two maturities. Diagnostics are the more advanced arm: Bio-Techne's ExoDx Prostate is a commercial exosome-RNA test, so that capability is around TRL 6. Therapeutic delivery is earlier, around TRL 5, with several biotechs in or approaching the clinic and none approved. Codiak BioSciences, an early leader, filed for bankruptcy in 2023 and its engEx assets were acquired by Evox, so it is marked defunct.",2026-07-07
flexible-epidermal-electronics,Flexible epidermal electronics,D,D.1 | D.3,"Ultrathin (micron-scale) silicon and gallium-arsenide nanomembranes patterned into serpentine ""wavy"" interconnects whose mechanics match skin, so rigid semiconductors can bend and stretch without cracking","Transferring device-grade silicon nanomembranes onto elastomeric substrates and routing them through serpentine traces lets high-performance electronics conform to skin like a temporary tattoo, capturing electrophysiology and biochemistry at the surface","Clinical-grade, continuous electrophysiology and sweat biochemistry from an imperceptible, conformal patch instead of a rigid, wired benchtop instrument","Long-term, ambulatory ECG/EEG/EMG and continuous biomarker monitoring outside the clinic, with signal quality approaching gel-electrode gold standards","continuous ambulatory ECG, EEG, and EMG patches | sweat-based electrolyte, lactate, and glucose monitoring | neonatal and hospital vital-sign monitoring without wires | post-surgical and remote-patient monitoring",8,clinical_validated,"Multi-day adhesion, motion and sweat artifacts, on-body power and wireless bandwidth, and manufacturing yield/cost of serpentine nanomembrane arrays remain the practical limits on scale","Durable skin-safe adhesives, artifact-robust signal processing, energy-efficient wireless/harvesting, and lower-cost high-yield fabrication of the stretchable interconnects",Epicore Biosystems | Medidata Solutions (MC10 / BioStamp nPoint) | Xenoma | VivaLNK | GraphWear,Rogers Research Group (Northwestern University) | Bao Group (Stanford University) | Dae-Hyeong Kim Lab (Seoul National University),commercial_early,medium,high,medium,MC10 was acquired by Medidata (Dassault Systemes) in 2020; BioStamp lineage now sits inside Medidata's Sensor Cloud. Epicore's Gx sweat patch (with Gatorade) is a shipped consumer-scale example.,2026-07-06
liquid-biopsy-multiomics,Liquid biopsy multiomics,A,A.1 | D.2,"Deep sequencing of circulating cell-free DNA/RNA plus methylation, fragmentomics, and protein signals from a blood draw, combined with ML classifiers trained on large case-control cohorts","A blood sample yields tumour-derived molecules (mutations, methylation patterns, fragment sizes, proteins) that a machine-learning classifier scores for presence of cancer, residual disease, or actionable alterations","Non-invasive, repeatable detection of cancer and residual disease from a tube of blood, integrating multiple molecular layers rather than a single mutation panel",Population-scale cancer screening and post-treatment monitoring that catches disease earlier and tracks recurrence without repeat tissue biopsy,Post-surgical minimal residual disease and recurrence monitoring | Multi-cancer early detection screening in asymptomatic adults | Therapy selection via circulating tumour DNA genotyping | Blood-based colorectal cancer screening,8,real_world_proven,"Detecting early-stage tumours means finding vanishingly rare tumour molecules against a large normal-DNA background, so sensitivity at low tumour fraction and specificity (false positives triggering costly workups) remain the core limits; screening use also needs prospective mortality-benefit evidence and reimbursement","Higher sensitivity at low tumour fraction, controlled false-positive rates, large prospective outcome trials proving mortality benefit, and payer coverage for screening indications",Guardant Health | Grail | Freenome | Natera | Exact Sciences,"Nickolas Papadopoulos / Bert Vogelstein Lab (Johns Hopkins) | Victor Velculescu Lab (Johns Hopkins, fragmentomics) | Maximilian Diehn / Ash Alizadeh Lab (Stanford, CAPP-Seq)",commercial_scaled,high,high,high,"TRL 8 overall. Therapy-selection ctDNA genotyping and MRD monitoring are marketed and increasingly reimbursed (Guardant, Natera); multi-cancer early detection screening is later-stage (Grail Galleri PATHFINDER 2 at ASCO 2026, over 35,000 participants; Freenome and Guardant blood-based CRC tests added to ACS guidelines). Lower-confidence layer is asymptomatic screening evidence.",2026-07-07
mechanophores,Mechanophores / mechanochromic polymers,D,D.3,"Force-sensitive molecular units (spiropyran, naphthopyran, dioxetane, rhodamine mechanophores) covalently built into a polymer backbone so that mechanical load triggers a specific bond-breaking or ring-opening reaction","When the polymer is stretched or damaged, force is funneled onto the embedded mechanophore, which opens a ring or cleaves a bond and changes color or emits light, turning invisible mechanical stress into a visible optical signal","A material that reports its own stress, strain, or damage optically, with no electronics, wiring, or power","Passive, battery-free strain and failure readouts printed directly into bandages, sutures, implant coatings, and tissue scaffolds",smart bandages that flag excessive wound tension | suture and closure strain indication | implant and prosthetic strain or micro-crack alerts | force mapping in tissue-engineering scaffolds,3,in_vitro,"The color/emission response is largely qualitative and often irreversible; there is no accepted calibration from optical signal to a clinical stress number, and biocompatibility plus in-body readout of the signal are unproven","Quantitative, reversible mechanophores with calibrated dose-response curves, biocompatible host polymers, and a practical way to read the optical signal through skin or tissue",none fully commercialized in biomedical use,"Craig Lab (Duke University) | Sottos / Moore / White groups (Beckman Institute, UIUC) | Weder Lab (Adolphe Merkle Institute, Fribourg) | Sijbesma Lab (Eindhoven University of Technology) | Boydston Lab (University of Wisconsin-Madison)",research_only,medium,medium,medium,"Thin-data primitive. Strong academic base but essentially no biomedical commercialization; closest industrial uses are damage-sensing coatings and structural composites, not medical devices.",2026-07-06
metamaterials-metasurfaces,Metamaterials and metasurfaces,D,D.2,CMOS-compatible lithography of subwavelength pillar arrays that replace bulky multi-element glass optics with a single flat layer,"Subwavelength nanostructures impose an engineered phase, amplitude, and polarisation profile on light in one flat, mass-producible element",Collapsing high-resolution imaging and polarisation optics to hair-width scale that fits inside needles and catheters,"Label-free biomarker and chiral sensing plus imaging optics small enough for biopsy needles, endoscopes, and retinal or brain implants","Hair-width imaging probes inside biopsy needles and catheters | Endoscopy and OCT with single flat imaging elements | Polarimetric / chiral biomarker sensing (e.g. Polar ID biometrics) | Label-free low-concentration biomarker detection, implant optics",3,real_world_proven,"Medical-grade metasurface yield, sterile single-use integration into needles, achromatic broadband performance, and clinical validation","Manufacturable medical-grade probes, regulatory validation of imaging devices, and broadband achromatic designs",Metalenz | Leadoptik,"Federico Capasso lab (Harvard SEAS) | Melissa Suter lab (Massachusetts General Hospital), nano-optic OCT endoscope",commercial_scaled,high,high,high,TRL split. Consumer/sensing metaoptics ship in over 140M devices (TRL 8-9); the medical imaging-probe wedge is early (TRL 3-5). Lower bound of the medical path recorded.,2026-07-06
microfluidic-lnp-manufacturing,Microfluidic LNP manufacturing,B,B.5,"Microfluidic mixer designs (staggered herringbone, NxGen) that impose reproducible, rapid mixing of an aqueous nucleic-acid stream with an ethanolic lipid stream, driving controlled nanoparticle self-assembly","A chip-based mixer brings nucleic acid and lipid solutions together under precisely controlled flow so lipids self-assemble around the payload into uniform nanoparticles, with critical quality attributes preserved from bench to GMP scale","Produces monodisperse, high-encapsulation LNPs reproducibly and scales the same physics from microliter discovery batches to hundreds of litres of cGMP material","Reliable, comparable LNP manufacturing across the whole development path, removing formulation as a bottleneck for RNA medicines",Research-scale LNP formulation screening | Clinical and commercial cGMP LNP production | Reproducible batch-to-batch nanoparticle manufacture | Scale-up of RNA vaccines and gene therapies,9,real_world_proven,"Small herringbone mixers are low-throughput (<100 mL/h) so scale-up requires parallelisation or larger systems that can shift particle attributes; process transfer, lipid supply, and cold-chain still constrain very large campaigns","Higher-throughput mixers that hold quality attributes constant across scales, better parallelisation, and standardised tech transfer from discovery to commercial",Precision NanoSystems (Cytiva) | Inside Therapeutics | PreciGenome | Knauer,Pieter Cullis Lab (UBC),commercial_scaled,medium,high,medium,"Precision NanoSystems (now Cytiva) NanoAssemblr with NxGen microfluidics spans 0.5L to 400L batches with automated priming, calibration, and electronic batch records; the physics behind approved COVID-19 vaccine LNPs. Defensibility medium: mixer IP plus workflow, but multiple credible vendors.",2026-07-06
microneedle-isf-sensing,Microneedle Interstitial Fluid Sensing,D,D.3,"Micron-scale needle arrays that painlessly reach the dermal interstitial fluid, paired with electrochemical aptamer or enzyme sensors miniaturised onto the needle tips","Sub-millimetre needles penetrate the outer skin to access interstitial fluid, where on-needle electrochemical sensors read analyte concentration without drawing blood","Minimally invasive, near-blood-equivalent molecular monitoring from a skin patch, extending continuous sensing beyond glucose to drugs, electrolytes and protein biomarkers","Point-of-care and at-home panels for heart failure, kidney function and drug dosing that today require a venous draw and a central lab","point-of-care NT-proBNP and electrolyte panel for heart failure | continuous therapeutic drug monitoring (vancomycin, antibiotics) | lactate and creatinine monitoring in acute care | metabolic and hormone tracking",4,human_pilot,"Interstitial fluid concentration must be shown to track blood with a stable, known offset for each analyte; microneedle arrays must stay mechanically intact and sterile over the wear period, and on-needle sensors must resist fouling and drift","Analyte-by-analyte ISF-to-blood correlation studies, robust manufacturing of sensor-coated needle arrays at scale, and demonstrated multi-day sensor lifetime under real skin conditions",Nutromics | Adaptyx Biosciences,Joseph Wang lab (UC San Diego) | Netzahualcoyotl Arroyo-Curras lab (Johns Hopkins),pilot_deployment,high,medium,high,The microneedle is the sampling route; the aptamer or enzyme on its tip is the recognition layer. Value splits between painless reliable access and stable readout.,2026-07-06
mof-hydrogels,MOF Hydrogels and Nanoscale Metal-Organic Frameworks,D,D.2 | D.4,"Self-assembly of metal-ion nodes and organic linkers into crystalline frameworks with the highest known surface areas and precisely tunable pores, embedded in soft hydrogels for body-facing use","Ordered, ultra-porous MOF cages selectively capture or load target molecules by size and chemistry; a hydrogel matrix makes them wearable, processable and skin-compatible","Molecular sieving and high-capacity drug loading with pore-level selectivity, delivered in a soft body-interfacing format rather than a rigid powder","Selective sweat and interstitial capture patches that preconcentrate scarce biomarkers, and single carriers that co-deliver multiple cancer drugs on a controlled release schedule",selective sweat or ISF capture and preconcentration patches | toxin and metabolite scavenging | multi-drug and immunotherapy cancer delivery | wound-healing composites and biosensor recognition layers,3,in_vivo_animal,"Batch-to-batch reproducibility of framework and pore quality is hard; hydrogels swell and change transport over time, MOF stability in biofluids is variable, and long-term skin contact and biocompatibility are unproven","Reproducible synthesis at controlled pore quality, framework and hydrogel stability under sweat and skin conditions, and biocompatibility and clearance data for the specific metal-linker chemistry used",Coordination Pharmaceuticals | Tarsis Technology,Wenbin Lin lab (University of Chicago) | Omar Yaghi lab (UC Berkeley),preclinical,high,medium,high,"The therapeutic nMOF branch is furthest along, with clinical-stage cancer candidates; the wearable capture branch is earlier and mostly academic. Do not average the two.",2026-07-06
molecular-recording,Molecular recording,E,E.3 | E.1,"prime editing and recombinase systems that append short, ordered DNA marks inside a living cell, plus single-cell sequencing to decode the accumulated log, which together let a genome act as a durable tape for biological events","engineered editors write symbol barcodes into a genomic tape in time order as cellular events occur, so lineage, signalling history, and transient exposures are recorded in DNA and later reconstructed by sequencing",a molecular flight recorder that logs the chronological history of a cell's biology into its own genome for retrospective readout,"reconstructing the order of cancer mutations, immune-cell fate, developmental lineage, or drug and stress exposures from DNA that no imaging modality can capture",chronological cancer and inflammation event tracing | in-vivo developmental lineage tracing | transient drug- and stress-exposure logging | neural-activity recording into cellular DNA,3,in_vivo_animal,"delivery into target cells, limited recording capacity and temporal resolution, cell safety of repeated genome edits, and the sequencing and decoding burden all keep this research-only with no clinical or regulatory path for a genome-modifying recorder","higher-capacity, safe, reversible recording chemistries with better temporal resolution, efficient in-vivo delivery, and low-cost decoding, before any diagnostic or research-tool product is viable",none commercial (academic frontier),"Shendure Lab (University of Washington, DNA Typewriter and ENGRAM) | Lu Lab (MIT, SCRIBE and recombinase-based recorders) | Shipman Lab (Gladstone Institutes, CRISPR-based recording) | Kalhor Lab (Johns Hopkins University, lineage barcoding)",research_only,high,medium,high,"Split out from the old bundled dna-data-storage primitive as its own research primitive: writing biological events, not digital data, into a genome. Frontier is essentially all academic (Shendure DNA Typewriter and ENGRAM, Lu SCRIBE, peCHYRON). Deliberately does NOT list Prime Medicine as a closest company: Prime Medicine does therapeutic gene correction (see prime-base-editing), a different primitive, even though it shares the prime-editing write chemistry. TRL 3 with in-vivo animal evidence for lineage recording; neural and transcriptome recording is earlier at TRL 2. Tags span E.3 (in-vivo cells) and E.1 (synthetic bio) for the engineered recording circuits.",2026-07-07
molecularly-imprinted-polymers,Molecularly Imprinted Polymers,D,D.2,"Template-directed polymerisation that casts a target-shaped cavity into a crosslinked polymer, then removes the template to leave a reusable synthetic binding site",A polymer is cured around a target molecule so its shape and chemistry are imprinted as a cavity; removing the target leaves a lock-and-key site that rebinds it selectively,"Antibody-like molecular recognition from cheap synthetic material that survives heat, pH extremes and long shelf storage, with no animals or cell culture required","Low-cost, stable home and field diagnostics for targets where antibodies are fragile, expensive, or impossible to raise","low-cost home tests for hormones, drugs and metabolites | point-of-care and field diagnostics in low-resource settings | electrochemical biosensor recognition layers | sample cleanup and toxin capture",5,in_vitro,Selectivity degrades in complex biofluids such as blood or saliva where structurally similar molecules compete; binding sites are heterogeneous and batch-to-batch reproducibility is hard to guarantee to a diagnostic standard,"Manufacturing control that yields uniform high-affinity sites reproducibly, plus validated performance against real patient samples rather than spiked buffers, to match the trust antibodies have earned",MIP Discovery | Tozaro,Sergey Piletsky lab (University of Leicester) | Ken Shimizu lab (University of South Carolina),commercial_early,medium,low,medium,nanoMIP reagents already sell as antibody replacements; the open question is whether MIPs can carry a regulated diagnostic on their own recognition rather than as a component.,2026-07-06
mrna-lnp-delivery,mRNA / LNP delivery,D,D.4 | E.3,"Ionizable-lipid chemistry that is neutral in blood and protonates in the endosome, combined with modified-nucleoside mRNA that evades innate immune sensing, proven at scale by COVID-19 vaccines","A lipid nanoparticle encapsulates mRNA, is taken up by cells, and the ionizable lipid triggers endosomal escape so the mRNA reaches the cytosol and is translated into the encoded protein","Delivers arbitrary genetic instructions into cells in vivo, turning the cell into the factory and enabling intracellular targets that small molecules and antibodies cannot reach","Personalised neoantigen cancer vaccines, in-vivo gene-editing and in-vivo CAR-T, and direct drugging of previously undruggable intracellular targets",Individualised neoantigen cancer vaccines (e.g. mRNA-4157 plus checkpoint) | In-vivo delivery of gene-editing payloads | In-vivo cell engineering (targeted LNP CAR-T) | Protein-replacement and prophylactic vaccines,8,real_world_proven,"Unmodified LNPs default to the liver, so extrahepatic targeting is unsolved; immunogenicity, dosing durability, and repeat-dose tolerability limit expansion beyond vaccines and hepatic indications","Reliable tissue-selective targeting (beyond liver), lower innate immunogenicity, more durable expression, and validated targeting ligands or SORT-style formulations",Capstan Therapeutics (AbbVie) | Moderna | BioNTech | Intellia Therapeutics,Robert Langer Lab (MIT) | Daniel Anderson Lab (MIT) | Kathryn Whitehead Lab (CMU),commercial_scaled,high,high,high,"COVID vaccines proved the platform at billions of doses. Frontier is extrahepatic and cell-selective delivery: Capstan's tLNP delivers anti-CD19 CAR mRNA to T cells in vivo (CPTX2309, Phase I), acquired by AbbVie for $2.1B in 2025. mRNA-4157 (Moderna/Merck) is in Phase 3 for melanoma.",2026-07-06
multimodal-clinical-data-platform,Multimodal clinical data platform,A,A.2,"EHR interoperability standards, de-identification pipelines, and the cost collapse in sequencing and imaging that makes linking genomics, imaging, and claims to clinical records feasible at scale","patient records, molecular profiles, imaging, and claims are harmonised, de-identified, and linked into a queryable longitudinal substrate that models and trials build on","one harmonised, queryable view of the patient across EHR, genomics, imaging, and claims instead of siloed single-modality datasets","a shared data substrate that AI models, external control arms, and biomarker discovery all draw on",external and synthetic control arms for trials | biomarker and target discovery on linked clinico-genomic data | patient stratification and companion-diagnostic development | post-market safety and label-expansion evidence,8,real_world_proven,"single-modality RWD is commercially proven, but genuinely linked multimodal records at scale are rarer, curation is expensive and manual, coverage skews US, and privacy plus federation limit how far data can be pooled","cheaper automated curation, cross-institution federation that satisfies privacy law, and clearer regulator standards for RWD-derived efficacy evidence",Tempus | Flatiron Health | Verily | Owkin,academic medical-informatics and federated-learning groups,commercial_scaled,high,high,high,"Flatiron (oncology RWD) and Tempus (clinico-genomic) are the scaled players; Owkin adds federated multimodal learning across hospitals. The scarce asset is linked, curated multimodal data, not single-modality volume.",2026-07-07
mxene-2d-materials,MXenes and 2D Materials,D,D.1 | D.2,"Selective etching of the A layer from MAX-phase ceramics to yield atom-thin, metallically conductive transition-metal carbide and nitride sheets with a hydrophilic, functional surface","Atomically thin MXene sheets combine metal-like conductivity, an enormous accessible surface area, tunable interlayer spacing and photothermal absorption, all in a flexible film","Ultra-sensitive, flexible electrochemical transduction and near-infrared photothermal conversion from a single processable 2D material, at conductivity antibody-grade carbon cannot reach",Skin-conformal sensors that detect biomarkers at nanomolar levels and light-activated tumour ablation from the same material family,ultra-sensitive wearable sweat and sensor electrodes | point-of-care electrochemical diagnostics | photothermal cancer therapy and antibacterial coatings | conductive inks for bioprinting and smart textiles,3,in_vitro,"Ti3C2Tx oxidises and degrades in air and especially in aqueous or UV-exposed conditions, undermining shelf life and in-use stability; long-term biocompatibility is unsettled and etching relies on hazardous hydrofluoric-acid chemistry that resists clean scale-up","Oxidation-resistant formulations or storage, HF-free scalable synthesis, and biocompatibility and stability data over device-relevant timeframes in real biofluids",XPANCEO,Yury Gogotsi lab (Drexel University) | Valentyn Volkov group (2D materials),preclinical,high,high,high,Spectacular bench sensitivity; the whole translational question is whether the material stays intact long enough to be a product rather than a demo.,2026-07-06
nanopore-sensing,Nanopore sensing,D,D.2,Engineered biological and solid-state nanometre pores plus AI basecallers trained on huge labelled current-signal libraries,A single molecule threads through a nanometre pore and the ionic-current disruption is decoded into sequence or identity,"Reads a single molecule electrically as it passes through a nanoscale pore, no labels or amplification","Full-length single-molecule protein sequencing and single-molecule proteomics, the missing counterpart to DNA sequencing","Native long-read DNA and RNA sequencing without PCR | Direct epigenetic modification calling, methylation without bisulfite | Full-length de novo protein sequencing and PTM detection | Exosome and peptide diagnostics, pathogen and infectious-disease IVD",3,regulatory_cleared,"Protein sequencing is unsolved, no translocation motor, a 20-plus-residue alphabet with PTMs, noisy raw signal, sample prep and throughput friction","Reliable translocation control for proteins, larger labelled signal libraries, wafer-scale CMOS pore arrays reaching yield and cost",Oxford Nanopore Technologies | Portal Biotech | UNOMR | Genopore | Qitan Technology | AxBio | Genvida,"Giovanni Maglia lab (University of Groningen) | Cees Dekker lab (TU Delft) | Hagan Bayley lab (University of Oxford) | imec (Leuven), wafer-scale solid-state nanopore fabrication",commercial_scaled,high,high,very-high,TRL split. DNA and RNA sequencing is on-market (TRL 9); protein nanopore sequencing is lab-stage (TRL 3-4). Lower bound recorded here.,2026-07-06
neuromorphic-memristive-materials,Neuromorphic / memristive materials,D,D.1 | D.2,"Materials whose electrical resistance depends on the history of voltage and current passed through them, letting a single device store and update an analog ""weight"" like a biological synapse","Memristive elements (metal-oxide filaments, phase-change, or ion-migration devices) change resistance based on past electrical stimulus, so crossbar arrays of them compute and store in the same place, mimicking synaptic plasticity at low power","In-memory, analog, event-driven computation that processes sensor signals with orders-of-magnitude less power than conventional von Neumann chips","Always-on, on-device interpretation of biosignals and tactile input inside implants, wearables, and prosthetics, without streaming raw data to the cloud",low-power on-device ECG/EEG anomaly detection | tactile electronic-skin arrays for prosthetics and robotics | closed-loop brain-machine interface signal processing | on-chip biomarker and bioimpedance pattern recognition,4,in_vitro,"Device-to-device variability, limited endurance/retention, and lack of mature design tools make analog memristive arrays hard to manufacture reproducibly; biomedical integration (biocompatible, implant-grade, closed-loop) is at proof-of-concept","Reproducible, endurance-stable memristor fabrication with robust programming schemes, plus validated biocompatible packaging and closed-loop clinical demonstrations",Innatera | SynSense | BrainChip | Rain AI | Polyn Technology,"Lu Group (University of Michigan) | Williams Lab (Texas A&M University) | Tae-Woo Lee Lab (Seoul National University) | Bao Group (Stanford University, e-skin synapses)",preclinical,medium,high,high,"Neuromorphic inference chips (Innatera, SynSense, BrainChip) are shipping for edge AI, but biomedical/implantable use of memristive materials specifically is still preclinical. Family/tag reflect the bio-sensing angle, not the broader compute market.",2026-07-06
nv-diamond-quantum-sensing,NV-diamond quantum sensing,D,D.2 | D.3,"Room-temperature spin readout of nitrogen-vacancy point defects in diamond, whose fluorescence shifts with local magnetic and electric fields","An NV center's electron-spin resonance changes with the local magnetic field, so measuring its optical fluorescence under microwave drive gives an ultra-sensitive, calibration-free magnetometer that works at room temperature","Picotesla-to-nanotesla magnetic sensing at micron-to-nanometer scale without cryogenics or magnetic shielding, on the same bench as living cells or tissue","Portable, shielding-free brain and cardiac magnetic imaging plus label-free single-cell readouts that today need a cryogenic SQUID or a fluorescent tag",portable ambient magnetoencephalography (MEG) for brain mapping | magnetic-nanoparticle immunoassays and point-of-care diagnostics | single-cell magnetic and metabolic readouts of cellular stress | nanoscale magnetic resonance and action-potential detection,4,in_vitro,"Biomedical sensitivity still needs the diamond, laser, and microwave optics packaged into a compact, low-cost, patient-safe head or bench unit; most brain and immunoassay results are single-channel lab prototypes, not multi-channel clinical systems","Photonic integration and diamond-fabrication cost reduction to shrink benchtop quantum-optics rigs into wearable or cartridge form factors, plus clinical validation against SQUID/OPM baselines",QT Sense | NVision Imaging Technologies | Qnami | QZabre | SBQuantum | Element Six,Walsworth Lab (University of Maryland / Harvard) | Lukin Lab (Harvard) | MIT Lincoln Laboratory diamond magnetometer group | Wrachtrup Lab (University of Stuttgart) | Pines Lab (UC Berkeley),pilot_deployment,high,high,high,"NVision listed for the hyperpolarized-MRI metabolic-imaging adjacency; its core tech is parahydrogen hyperpolarization, not NV centers, so it is a neighbor rather than a pure NV player.",2026-07-06
optogenetics-sonogenetics,Optogenetics / sonogenetics,E,E.3 | D.4,"Gene therapy that installs light-sensitive opsins (channelrhodopsins) or mechanosensitive/ultrasound-responsive proteins into specific cells, plus the light or focused-ultrasound hardware to actuate them","A viral vector delivers a gene encoding a light- or ultrasound-sensitive ion channel to target cells, which then open or close in response to an external light pulse or ultrasound wave, switching cell activity on demand","Confers on-off control of genetically chosen cells from outside the body, with ultrasound reaching deep tissue non-invasively where light cannot penetrate","Precision switches for cell and gene therapies and neuromodulation, and high-bandwidth, minimally invasive brain-computer interfaces",Vision restoration in retinitis pigmentosa and macular degeneration | Programmable neuromodulation for neurological and psychiatric disease | Controllable cell and gene therapies (inducible circuits) | Non-invasive high-bandwidth brain-computer interfaces,4,human_pilot,Optogenetics needs implanted light hardware and only reaches surface tissue like the retina; sonogenetics is largely preclinical with immature ultrasound-responsive proteins and unproven spatial precision and safety in humans,"Deeper, safer light delivery or maturation of ultrasound-responsive actuators, durable gene expression, demonstrated spatial specificity, and controlled clinical efficacy data",Merge Labs | Science Corporation | GenSight Biologics | Bionic Sight,Sreekanth Chalasani Lab (Salk) | Karl Deisseroth Lab (Stanford) | Botond Roska Lab (IOB Basel),preclinical,very-high,high,high,"Optogenetics is furthest along: GenSight GS030 (ChrimsonR) and Bionic Sight are in Phase 1/2 for vision, with a published human case of partial vision restoration. Sonogenetics is earlier, mostly animal-stage. Merge Labs raised $252M (OpenAI-backed) to pair gene therapy with ultrasound for a non-implant BCI; Science Corporation pursues optogenetic and photovoltaic vision restoration.",2026-07-06
